1520974956	2018-03-14 00:02	desktop	192958261	213	https://yandex.ru/search/?text=золотая орда сериал 2017 смотреть онлайн&rl=102	http://kinotan.ru/1378-zolotaja-orda-2017-serial-smotret-onlajn-besplatno-na-pervom-hd-720.html;http://kinoron.co/25148-zolotaya-orda-2018-serial-smotret-onlayn.html;http://kinogo2017.net/2399-serial-zolotaya-orda-12345678-serii-film-2017-smotret-onlayn.html
1520974960	2018-03-14 00:02	touch	133867588	10740	https://yandex.ru/search/?text=тьма сериал смотреть онлайн&rl=689	http://lostfilm-hd720.ru/1455-serial-tma-2017-smotret-onlajn-lostfilm-1-sezon-besplatno-hd-720.html;http://hd-720.biz/seriali/10769-tma-smotret-online.html;http://hd720.biz/serial_hd/8027-smotret-online-tma-vse-serii.html
1520974973	2018-03-14 00:02	touch	256375834	213	https://yandex.ru/search/?text=чёрная лагуна смотреть онлайн бесплатно в хорошем качестве&flag=VNy3896&client=763791	http://mir-kino.com/1912-chernaya-laguna.html;https://topcinema.tv/spanish-serials/chernaya-laguna-serial-el-internado.html;http://seria-z.net/serial/chernaya-laguna1.html
1520974980	2018-03-14 00:03	desktop	428840554	191	https://yandex.ru/search/?text=сериал осколки 5 6 7 8 серия 2018 канал россия смотреть онлайн бесплатно&flag=K3893	http://www.zigdis.com/news/serial_oskolki_5_6_7_8_serija_2018_kanal_rossija/2018-03-08-6391;https://seria.online/russkie-serialy/oskolki-film-2018-4-5-6-seriya-smotret-onlajn.html;https://www.youtube.com/watch?v=Hozs7wvPwq4
1520974983	2018-03-14 00:03	desktop	184536808	16	https://yandex.ru/search/?text=смотреть онлайн филмы	http://kinoserv.net/;http://bobyfilms.net/;https://www.ivi.ru/movies
1520974994	2018-03-14 00:03	desktop	96417076	10830	https://yandex.ru/search/?text=кости смотреть онлайн&rl=106&flag=Kz4014	http://seasonvar.ru/serial-178-Kosti-01-sezon.html;http://kosti-tv.com/online/;http://onlainfilm.me/load/kosti_5_sezon_serija_1_5_smotret_onlajn/11-1-0-311
1520975000	2018-03-14 00:03	touch	261656581	2	https://yandex.ru/search/?text=кино золотая орда смотреть онлайн бесплатно в хорошем качестве	http://kinobars.net/957-zolotaya-orda.html;http://aivis.tv/online/zolotaja_orda_1_2_3_4_serija_2017_serial_smotret_onlajn/2018-03-11-1417;http://hd-720.biz/seriali/11377-zolotaya-orda-1-2-seriya-smotret-online.html
1520975007	2018-03-14 00:03	touch	166077961	193	https://yandex.ru/search/?text=рома шахтер смотреть онлайн бессплатно&id=NrWqM66Bca9HrtNh	http://sporthd.online/1721-roma-shahter.html;http://kinoo.su/5878-roma-shahter.html;http://goal-online.org/13-03-2018-roma-shahter-d.html
1520975010	2018-03-14 00:03	desktop	125937190	10347	https://yandex.ru/search/?text=против шторму смотреть онлайн	http://ua-cinema.com/3484-proti-shtormu-2016-divitis-onlayn-v-hd-720.html;http://uafilm.net/filmy-boiovyky/105-proty-shtormu-2016-dyvytys-onlain-v-hd-720.html;http://kinogo.cc/5908-i-gryanul-shtorm-2016.html
1520975017	2018-03-14 00:03	desktop	228815537	143	https://yandex.ru/search/?text=футбол 2 смотреть онлайн	http://onelike.tv/futbol-2-ua.html;http://see-me.ru/online-tv/football-2.html;http://only-tv.org/football-2.html
